Cancer1,Cancer2,Cancer3,Cancer4,Cancer5,Normal1,Normal2,Normal3,Normal4,Normal5
2,0,30,1,0,1,161,2,10,1
2150,3921,2855,1325,3310,2731,3261,1806,1528,936
455,226,916,409,539,975,1528,480,452,417
53,573,619,570,97,77,1153,64,103,70
112,128,157,138,103,160,426,157,130,76
487,298,241,238,572,2259,17655,3161,3270,459
2111,4031,4073,1840,2561,5715,11474,3575,4496,2431
4135,2023,4706,1515,1954,6263,3306,1909,1154,1236
347,388,649,606,513,578,2492,282,388,225
5,1,15,12,6,107,141,38,95,29
600,165,608,489,474,553,858,323,216,215
12,2,124,5,21,3,3,3,0,0
458,288,960,554,401,396,600,269,209,192
10027,1897,10273,4917,9422,14491,14477,5604,3372,6128
286,538,1358,190,491,602,9856,424,913,318
871,117,1566,535,1023,2019,1384,1116,664,1009
703,655,2339,812,1037,870,1301,700,555,332
920,2303,2164,1100,1926,1991,3044,1498,1368,642
1862,1499,2548,906,3865,3806,6024,3540,2611,1030
1289,1008,1532,1024,1908,2011,3248,1856,1112,932
149,19,287,59,594,90,42,75,13,24
2204,1990,6143,2443,3818,3941,5676,4080,3675,1889
2841,2967,9585,2176,5464,2893,4224,1067,1268,1207
390,569,1116,1092,755,1271,3158,1098,989,706
6076,3017,7559,3240,6677,13794,13865,7616,5258,3970
0,0,0,0,0,0,0,0,0,0
4,7,21,4,10,11,10,1,4,14
2131,1470,5022,768,2384,5370,9259,3597,2778,1193
1270,1404,1493,1435,1325,2140,3742,1827,1541,994
404,1070,1178,325,603,624,866,232,280,274
304,1466,1342,673,774,520,2188,356,370,277
2806,1285,1816,772,1708,1938,2481,1897,1938,1666
1463,114,2956,812,3688,13906,18652,14943,9930,4951
618,1306,1588,827,820,912,1924,638,738,538
561,1516,1334,1025,1166,937,2022,869,783,559
1515,1642,2746,1584,1819,1339,1964,913,791,676
1855,3330,3239,2067,2339,3073,4278,2006,1718,1131
1251,2516,3174,948,2954,2456,4230,2099,2263,1370
9856,15414,13742,7901,10653,10688,15415,5752,5384,4336
15,12,31,18,7,17,57,10,10,6
2863,8386,768,3319,1269,425,410,416,228,100
808,752,1068,793,960,969,1509,713,579,397
1820,2244,4127,2089,2428,3029,6072,4481,4098,1741
4336,1387,11514,2004,2996,2798,3615,1004,866,3035
731,1283,1136,1666,722,228,128,80,68,88
1808,2143,2425,1427,1733,2921,3643,1315,1215,968
1874,1817,2341,1884,2866,3720,6422,3368,2781,1630
30079,7195,66084,12005,28542,99179,50710,47393,15827,11540
637,631,1752,466,466,467,711,254,219,218
1725,2742,4637,2270,2165,2378,3712,1644,1719,979
1313,1062,1566,537,1394,1962,3318,1457,942,641
1512,1942,2963,2436,1587,1879,3431,1682,1282,728
37,18,90,50,38,30,72,20,4,16
5563,1298,18858,3379,6081,10089,9412,4451,3064,6328
4122,1199,9646,2030,4557,1722,2761,1530,932,1033
0,2,15,407,2,1,9,0,2,0
284,448,440,382,514,216,812,199,194,111
1608,1900,3430,1587,2036,1746,2971,955,1056,668
349,79,1086,192,358,546,698,319,217,437
1226,662,1344,248,958,7811,12620,2381,2834,1490
1394,1123,1570,834,2678,949,1587,1051,741,507
461,750,994,414,626,508,651,233,188,137
1219,65,3276,536,13351,1270,8136,572,4286,1145
2460,1526,3091,1897,1664,3321,3728,2043,1268,904
0,0,10,7,5,7,17,6,6,4
5936,6360,8812,4531,7320,6809,7578,4611,4155,3192
4925,789,5691,1468,3823,8681,6548,5063,3268,4518
0,5745,10,1,2,1,2,1,2,0
2088,3259,4174,3950,3469,8503,15255,5896,6468,3728
1453,797,2056,969,1113,1652,2622,1160,1014,614
1659,1613,2023,1961,1644,1992,4121,1955,1661,979
541,1099,580,743,837,754,2584,558,813,212
3053,4626,7614,4282,3805,2727,4438,1505,1567,1118
3330,2271,4833,2783,3664,5746,6518,2831,2210,2313
1,2,0,32,1,1,8,4,2,0
240,198,342,542,270,295,1178,415,354,74
5612,8874,13841,6591,7224,3481,4909,1853,1784,1775
22825,9653,35444,6431,23075,16854,20484,8515,10076,8551
3095,2032,5269,1809,4034,3745,6280,2751,2563,2047
1206,1589,1981,1955,2249,1256,1991,1010,1027,575
289,334,565,297,474,421,655,341,237,168
1894,2657,4031,3127,2125,2009,8295,1521,2861,2801
251,397,1182,414,372,583,917,381,371,206
560,831,1455,2096,747,1378,2250,1097,773,794
1974,1625,3656,1478,1997,2254,3524,1936,1556,1027
520,295,616,285,676,554,823,360,357,217
334,1833,868,192,842,451,1451,455,310,230
1764,1169,2707,583,2001,3517,3968,1692,1963,1217
24497,12707,23168,7943,24821,82508,103229,41421,61644,52755
532,1049,352,76,295,627,473,351,197,123
523,136,1165,616,1145,1576,1033,249,230,775
1263,1421,2133,1128,1348,888,846,389,312,429
1312,1309,2131,1200,2011,1444,3338,1854,1499,856
100,162,273,109,136,132,334,62,106,68
1050,1869,1419,707,954,1314,1978,664,573,528
10152,10381,21512,7251,11550,13476,16301,6150,5923,4521
235,272,311,820,255,229,268,235,310,141
3232,3777,8385,3702,4342,4624,6740,2874,2584,2288
3125,2659,4554,1397,2725,3055,5551,3066,2658,1561
1120,2528,826,2138,777,492,920,263,265,170
1205,1367,2097,1259,1736,1287,2299,995,925,732
887,3304,2259,1959,1775,1910,10026,1402,1878,1476
469,686,914,465,660,554,1063,584,467,319
3309,4491,5161,1290,3701,5077,9158,5139,4415,2067
1228,274,1994,594,1265,1549,1371,651,433,809
159,126,405,295,123,161,9,166,8,7
1181,835,2994,1321,1354,1224,1393,759,516,571
14,88,161,58,77,60,246,39,57,50
38,4261,89,5,14,26,30,6,12,2
449,3730,3825,1058,2835,1900,2712,992,997,673
0,1,1,0,2,2,22,0,0,8
0,0,1,0,1,2,1,0,0,0
4425,4407,8245,3089,4714,5683,8200,4026,3260,1967
0,95,21,47,5,0,36,1,3,0
298,865,965,121,1080,575,839,474,310,318
133,169,3566,136,383,494,2908,1353,2317,570
0,924,12,0,0,0,2,0,0,0
4,2,18,2,3,2,50,0,6,0
1716,1550,2980,1552,2103,2205,4573,1411,1359,799
4077,5843,5958,4029,6054,7616,10424,7222,6991,3461
