order,family,Genus,species,mass(g),gestation (mo),newborn (g)
Rodentia,Muridae,Mesembriomys,gouldii,900,1.46,34.9
Carnivora,Mustelidae,Mustela,vison,899.75,1.19,8.64
Insectivora,Tenrecidae,Tenrec,ecaudatus,884,2.01,21.38
Rodentia,Sciuridae,Cynomys,ludovicianus,863,1.11,15.38
Carnivora,Herpestidae,Galidia,elegans,800,2.61,50
Carnivora,Herpestidae,Suricata,suricatta,776,2.57,31.33
Insectivora,Erinaceidae,Erinaceus,europaeus,771,1.20,15.7
Carnivora,Mustelidae,Ictonyx,striatus,765,1.20,12.5
Rodentia,Sciuridae,Sciurus,aberti,702.5,1.43,12
Rodentia,Aplodontidae,Aplodontia,rufa,687,0.98,23.58
Rodentia,Sciuridae,Spermophilus,beecheyi,609.33,0.97,10
Primates,Cebidae,Saimiri,sciureus,607.8,5.71,113.25
Carnivora,Mustelidae,Martes,americana,606.67,0.93,32.67
Rodentia,Muridae,Hydromys,chrysogaster,606,1.17,24.39
Primates,Callitrichidae,Callimico,goeldii,558.33,5.18,49.07
Primates,Callitrichidae,Leontopithecus,rosalia,558,4.35,55.07
Rodentia,Sciuridae,Sciurus,carolinensis,540.33,1.43,15.15
Macroscelidea,Macroscelididae,Rhynchocyon,chrysopygus,540,1.40,80
Carnivora,Mustelidae,Spilogale,putorius,511.5,2.19,13.8
Rodentia,Muridae,Cricetus,cricetus,506.67,0.71,5.05
Rodentia,Sciuridae,Spermophilus,columbianus,466.33,0.84,9.37
Primates,Callitrichidae,Saguinus,oedipus,401,5.84,40.22
Rodentia,Muridae,Neotoma,floridana,370.5,1.20,13.28
Rodentia,Sciuridae,Spermophilus,richardsonii,342.5,0.78,6.35
Rodentia,Muridae,Neotoma,cinerea,335.5,0.98,13.5
Primates,Loridae,Arctocebus,calabarensis,314.14,4.46,29.69
Primates,Callitrichidae,Callithrix,jacchus,309,4.90,27.12
Rodentia,Muridae,Rattus,norvegicus,280,0.71,5.81
Rodentia,Sciuridae,Spermophilus,beldingi,278.5,0.87,6.94
