data,time,sex,age,wings,weigh,ELL,PNW,eggs
21.07.89,1,f,3,1,"287,4","11,0","5,0",22
22.07.89,3,m,3,1,"177,6","9,2","4,3",0
23.07.89,1,m,3,1,"172,7","10,1","4,5",0
23.07.89,1,m,3,1,"181,0","10,4","4,5",0
23.07.89,1,f,3,1,"171,5","9,2","4,2",13
23.07.89,3,m,3,1,"186,5","10,3","4,4",0
23.07.89,3,f,3,1,"242,6","10,7","4,8",14
24.07.89,2,f,3,1,"338,0","11,0","5,1",20
24.07.89,3,f,3,1,"276,2","11,2","4,8",16
25.07.89,1,m,3,1,"197,2","10,4","4,4",0
25.07.89,1,m,3,1,"224,8","10,8","4,8",0
25.07.89,2,m,3,1,"184,0","10,2","4,5",0
26.07.89,1,f,3,1,"356,9","11,5","5,1",13
26.07.89,1,f,4,1,"351,8","11,8","5,4",0
26.07.89,1,m,3,1,"229,2","10,5","4,5",0
26.07.89,2,m,3,1,"198,8","10,9","4,7",0
26.07.89,3,m,3,1,"0,0","10,3","4,7",0
26.07.89,3,m,3,1,"201,2","10,9","4,6",0
27.07.89,3,m,3,1,"181,0","10,0","4,6",0
27.07.89,3,m,3,1,"186,5","10,2","4,9",0
28.07.89,1,m,3,1,"193,0","10,1","4,5",0
28.07.89,1,m,3,1,"196,9","10,0","4,7",0
28.07.89,2,f,3,1,"324,5","11,4","5,0",22
28.07.89,3,m,3,1,"193,0","10,8","4,5",0
28.07.89,3,f,3,1,"305,4","11,0","4,8",24
28.07.89,3,f,3,1,"309,0","11,2","5,0",16
29.07.89,1,m,3,1,"205,7","10,7","4,7",0
29.07.89,2,f,3,1,"301,6","11,3","4,9",18
29.07.89,3,m,3,1,"184,2","10,2","4,6",0
30.07.89,1,m,3,1,"170,9","9,6","4,5",0
30.07.89,1,m,3,1,"193,7","9,8","4,7",0
30.07.89,1,m,3,1,"223,2","9,7","4,7",0
30.07.89,1,m,3,1,"238,7","10,6","4,9",0
30.07.89,1,f,3,1,"278,8","10,7","4,9",14
30.07.89,2,m,3,1,"230,0","11,1","5,1",0
30.07.89,2,m,3,1,"229,0","10,5","4,8",0
30.07.89,3,m,3,1,"205,4","10,3","4,6",0
30.07.89,3,m,3,1,"195,2","11,0","4,7",0
31.07.89,1,m,3,1,"216,2","10,9","5,0",0
31.07.89,2,f,3,1,"348,0","11,8","5,2",22
31.07.89,3,f,3,1,"333,8","10,8","5,2",27
01.08.89,1,f,3,1,"227,2","9,7","4,7",8
01.08.89,2,m,3,1,"158,3","9,4","4,7",0
01.08.89,3,f,3,1,"331,2","11,5","5,5",32
01.08.89,3,m,3,1,"221,0","10,7","5,2",0
02.08.89,1,m,3,1,"209,8","10,8","5,8",0
02.08.89,1,m,4,1,"207,8","10,6","5,0",0
02.08.89,1,m,2,1,"207,2","10,5","5,0",0
02.08.89,3,f,3,1,"301,7","10,5","5,2",15
02.08.89,3,m,3,1,"183,4","10,4","4,8",0
03.08.89,1,m,3,1,"150,6","9,2","4,4",0
03.08.89,1,f,3,1,"222,5","0,6","5,2",23
03.08.89,1,f,3,1,"368,9","11,0","5,4",43
03.08.89,2,m,3,1,"181,0","9,9","5,0",0
03.08.89,3,f,3,1,"334,8","10,2","5,1",38
04.08.89,1,m,3,1,"182,7","9,7","4,7",0
04.08.89,1,m,3,1,"194,4","9,8","4,6",0
04.08.89,1,m,3,1,"195,7","9,9","5,0",0
04.08.89,1,f,3,1,"260,2","9,0","5,1",8
04.08.89,2,m,3,1,"201,6","10,1","5,0",0
04.08.89,2,m,3,1,"179,2","10,0","4,7",0
04.08.89,3,m,3,1,"0,0","10,1","4,7",0
04.08.89,3,f,3,1,"0,0","10,0","4,6",8
05.08.89,1,m,3,1,"145,9","9,0","4,2",0
05.08.89,1,m,3,1,"194,6","10,0","4,6",0
05.08.89,3,m,3,1,"198,1","10,1","4,8",0
05.08.89,3,m,3,1,"178,1","9,3","4,4",0
05.08.89,3,m,3,1,"178,8","9,8","4,5",0
05.08.89,3,f,3,1,"315,6","10,7","5,0",10
06.08.89,1,m,3,1,"145,2","8,9","4,3",0
06.08.89,1,f,3,1,"306,4","10,9","5,1",10
06.08.89,3,m,3,1,"182,6","10,0","4,7",0
